| Bk | Index |  Tag  |   Word   | MESI |
----------------------------------------
| 00 | 00000 | 00000 | 00000004 |  S   | 
| 00 | 00001 | 00000 | 00000007 |  S   | 
| 00 | 00002 | 00000 | 00000008 |  S   | 
| 00 | 00003 | 00000 | 00000002 |  S   | 
|----|-------|-------|----------|------| 
| 01 | 00004 | 00000 | 00000002 |  S   | 
| 01 | 00005 | 00000 | 00000009 |  S   | 
| 01 | 00006 | 00000 | 00000009 |  S   | 
| 01 | 00007 | 00000 | 00000003 |  S   | 
|----|-------|-------|----------|------| 
| 02 | 00008 | 00001 | 00000009 |  I   | 
| 02 | 00009 | 00001 | 00000004 |  I   | 
| 02 | 00010 | 00001 | 00000007 |  I   | 
| 02 | 00011 | 00001 | 00000007 |  I   | 
|----|-------|-------|----------|------| 
| 03 | 00012 | 00001 | 00000001 |  I   | 
| 03 | 00013 | 00001 | 00000005 |  I   | 
| 03 | 00014 | 00001 | 00000003 |  I   | 
| 03 | 00015 | 00001 | 00000008 |  I   | 
|----|-------|-------|----------|------| 
| 04 | 00016 | 00000 | 00000006 |  S   | 
| 04 | 00017 | 00000 | 00000006 |  S   | 
| 04 | 00018 | 00000 | 00000000 |  S   | 
| 04 | 00019 | 00000 | 00000004 |  S   | 
|----|-------|-------|----------|------| 
| 05 | 00020 | 00000 | 00000008 |  S   | 
| 05 | 00021 | 00000 | 00000008 |  S   | 
| 05 | 00022 | 00000 | 00000003 |  S   | 
| 05 | 00023 | 00000 | 00000007 |  S   | 
|----|-------|-------|----------|------| 
| 06 | 00024 | 00001 | 00000005 |  I   | 
| 06 | 00025 | 00001 | 00000009 |  I   | 
| 06 | 00026 | 00001 | 00000006 |  I   | 
| 06 | 00027 | 00001 | 00000008 |  I   | 
|----|-------|-------|----------|------| 
| 07 | 00028 | 00001 | 00000004 |  I   | 
| 07 | 00029 | 00001 | 00000007 |  I   | 
| 07 | 00030 | 00001 | 00000008 |  I   | 
| 07 | 00031 | 00001 | 00000003 |  I   | 
|----|-------|-------|----------|------| 
| 08 | 00032 | 00000 | 00000003 |  S   | 
| 08 | 00033 | 00000 | 00000006 |  S   | 
| 08 | 00034 | 00000 | 00000009 |  S   | 
| 08 | 00035 | 00000 | 00000000 |  S   | 
